 ================================================================================
                               TOYGENERATOR HISTOGRAMS                                       
 ================================================================================
 
   ISR generation using seed = 5235 at center of mass energy = 1.00 GeV
 
 
 ****************************************************************
 
 p modulus mu-
      binlow         binhigh         content           error
       0.060           0.070           0.000           0.000
       0.070           0.080           0.000           0.000
       0.080           0.090           0.000           0.000
       0.090           0.100           0.000           0.000
       0.100           0.110           0.000           0.000
       0.110           0.120           0.000           0.000
       0.120           0.130           0.000           0.000
       0.130           0.140           0.000           0.000
       0.140           0.150           0.071           0.071
       0.150           0.160           0.071           0.071
       0.160           0.170           0.213           0.123
       0.170           0.180           0.781           0.235
       0.180           0.190           0.071           0.071
       0.190           0.200           1.136           0.284
       0.200           0.210           0.852           0.246
       0.210           0.220           0.994           0.266
       0.220           0.230           1.633           0.340
       0.230           0.240           1.136           0.284
       0.240           0.250           2.130           0.389
       0.250           0.260           2.059           0.382
       0.260           0.270           1.988           0.376
       0.270           0.280           1.917           0.369
       0.280           0.290           2.556           0.426
       0.290           0.300           2.697           0.438
       0.300           0.310           3.052           0.465
       0.310           0.320           3.691           0.512
       0.320           0.330           3.762           0.517
       0.330           0.340           4.117           0.541
       0.340           0.350           5.466           0.623
       0.350           0.360           5.679           0.635
       0.360           0.370           5.040           0.598
       0.370           0.380           6.815           0.696
       0.380           0.390           8.092           0.758
       0.390           0.400           8.731           0.787
       0.400           0.410          11.074           0.887
       0.410           0.420          12.068           0.926
       0.420           0.430          14.694           1.021
       0.430           0.440          17.392           1.111
       0.440           0.450          20.728           1.213
       0.450           0.460          22.006           1.250
       0.460           0.470          24.916           1.330
       0.470           0.480          18.031           1.131
       0.480           0.490           0.000           0.000
       0.490           0.500           0.000           0.000
       0.500           0.510           0.000           0.000
       0.510           0.520           0.000           0.000
       0.520           0.530           0.000           0.000
       0.530           0.540           0.000           0.000
       0.540           0.550           0.000           0.000
       0.550           0.560           0.000           0.000
       0.560           0.570           0.000           0.000
       0.570           0.580           0.000           0.000
       0.580           0.590           0.000           0.000
       0.590           0.600           0.000           0.000
       0.600           0.610           0.000           0.000
       0.610           0.620           0.000           0.000
       0.620           0.630           0.000           0.000
       0.630           0.640           0.000           0.000
       0.640           0.650           0.000           0.000
       0.650           0.660           0.000           0.000
       0.660           0.670           0.000           0.000
       0.670           0.680           0.000           0.000
       0.680           0.690           0.000           0.000
       0.690           0.700           0.000           0.000
       0.700           0.710           0.000           0.000
       0.710           0.720           0.000           0.000
       0.720           0.730           0.000           0.000
       0.730           0.740           0.000           0.000
       0.740           0.750           0.000           0.000
       0.750           0.760           0.000           0.000
       0.760           0.770           0.000           0.000
       0.770           0.780           0.000           0.000
       0.780           0.790           0.000           0.000
       0.790           0.800           0.000           0.000
       0.800           0.810           0.000           0.000
       0.810           0.820           0.000           0.000
       0.820           0.830           0.000           0.000
       0.830           0.840           0.000           0.000
       0.840           0.850           0.000           0.000
       0.850           0.860           0.000           0.000
       0.860           0.870           0.000           0.000
       0.870           0.880           0.000           0.000
       0.880           0.890           0.000           0.000
